,continent,Indicator Name,Value,Year,Country Name
0,Europe,asbgsec,,2019,Albania
1,Europe,asbgsec,,2019,Azerbaijan
2,Other,asbgsec,,2019,Australia
3,Europe,asbgsec,10.1571115393237,2019,Austria
4,Asia,asbgsec,,2019,Bahrain
5,Europe,asbgsec,,2019,Armenia
6,Europe,asbgsec,,2019,Bosnia and Herzegovina
7,Europe,asbgsec,,2019,Bulgaria
8,Other,asbgsec,9.956271180938229,2019,Canada
9,Other,asbgsec,10.284346274367115,2019,Chile
10,Asia,asbgsec,8.880675069260398,2019,Chinese Taipei
11,Europe,asbgsec,10.144380483006085,2019,Croatia
12,Europe,asbgsec,,2019,Cyprus
13,Europe,asbgsec,10.113110032729695,2019,Czech Republic
14,Europe,asbgsec,9.868367741925196,2019,Denmark
15,Europe,asbgsec,10.125495768093735,2019,Finland
16,Europe,asbgsec,10.146423505204217,2019,France
17,Europe,asbgsec,9.916336372997947,2019,Georgia
18,Europe,asbgsec,10.028713714728248,2019,Germany
19,Asia,asbgsec,8.936718874066841,2019,Hong Kong
20,Europe,asbgsec,10.495889532747068,2019,Hungary
21,Asia,asbgsec,,2019,Iran
22,Europe,asbgsec,,2019,Ireland
23,Europe,asbgsec,9.71169231058268,2019,Italy
24,Asia,asbgsec,,2019,Japan
25,Asia,asbgsec,,2019,Kazakhstan
26,Asia,asbgsec,8.820239630387487,2019,Korea
27,Europe,asbgsec,,2019,Kosovo
28,Asia,asbgsec,,2019,Kuwait
29,Europe,asbgsec,,2019,Latvia
30,Europe,asbgsec,10.337838002497854,2019,Lithuania
31,Europe,asbgsec,9.936423818284672,2019,Malta
32,Europe,asbgsec,,2019,Montenegro
33,Other,asbgsec,,2019,Morocco
34,Asia,asbgsec,,2019,Oman
35,Europe,asbgsec,10.066313415187071,2019,Netherlands
36,Other,asbgsec,,2019,New Zealand
37,Europe,asbgsec,10.167822349596806,2019,Norway
38,Asia,asbgsec,,2019,Pakistan
39,Asia,asbgsec,,2019,Philippines
40,Europe,asbgsec,,2019,Poland
41,Europe,asbgsec,10.379922152359551,2019,Portugal
42,Asia,asbgsec,9.881793936012293,2019,Qatar
43,Europe,asbgsec,9.723711806320836,2019,Russian Federation
44,Asia,asbgsec,,2019,Saudi Arabia
45,Europe,asbgsec,,2019,Serbia
46,Asia,asbgsec,10.100894133619441,2019,Singapore
47,Europe,asbgsec,10.284955332773627,2019,Slovak Republic
48,Other,asbgsec,,2019,South Other
49,Europe,asbgsec,10.52280898423033,2019,Spain
50,Europe,asbgsec,9.984972194708845,2019,Sweden
51,Asia,asbgsec,10.09745094953374,2019,United Arab Emirates
52,Asia,asbgsec,10.345426596982811,2019,Turkey
53,Europe,asbgsec,,2019,North Macedonia
54,Other,asbgsec,10.117553288341743,2019,United States
55,Europe,asbgsec,10.498899936951249,2019,England
56,Europe,asbgsec,,2019,Belgium
57,Europe,bullying,11.268006089651758,2019,Albania
58,Europe,bullying,10.943923645387404,2019,Azerbaijan
59,Other,bullying,9.521081540362122,2019,Australia
60,Europe,bullying,10.167133931853588,2019,Austria
61,Asia,bullying,9.27721305231715,2019,Bahrain
62,Europe,bullying,11.299804171311884,2019,Armenia
63,Europe,bullying,10.823675016486288,2019,Bosnia and Herzegovina
64,Europe,bullying,9.80151484824614,2019,Bulgaria
65,Other,bullying,9.575742841280046,2019,Canada
66,Other,bullying,9.838923195570816,2019,Chile
67,Asia,bullying,10.251253070896448,2019,Chinese Taipei
68,Europe,bullying,10.449588753774323,2019,Croatia
69,Europe,bullying,10.002366836597671,2019,Cyprus
70,Europe,bullying,10.15979816167705,2019,Czech Republic
71,Europe,bullying,9.745929864553876,2019,Denmark
72,Europe,bullying,10.687263826537512,2019,Finland
73,Europe,bullying,10.51605580976276,2019,France
74,Europe,bullying,10.876101125084366,2019,Georgia
75,Europe,bullying,9.835837119259375,2019,Germany
76,Asia,bullying,9.914109925042528,2019,Hong Kong
77,Europe,bullying,9.90828219809544,2019,Hungary
78,Asia,bullying,10.033636999036535,2019,Iran
79,Europe,bullying,10.483892597411922,2019,Ireland
80,Europe,bullying,9.651448919105505,2019,Italy
81,Asia,bullying,10.910764310927284,2019,Japan
82,Asia,bullying,10.48241200823653,2019,Kazakhstan
83,Asia,bullying,10.635453198524619,2019,Korea
84,Europe,bullying,11.133709905492715,2019,Kosovo
85,Asia,bullying,9.23533590915899,2019,Kuwait
86,Europe,bullying,9.355322702587289,2019,Latvia
87,Europe,bullying,10.297337966236393,2019,Lithuania
88,Europe,bullying,9.677441335837496,2019,Malta
89,Europe,bullying,11.098508211367669,2019,Montenegro
90,Other,bullying,9.578585012374267,2019,Morocco
91,Asia,bullying,9.296306423124438,2019,Oman
92,Europe,bullying,10.028156859676365,2019,Netherlands
93,Other,bullying,9.257827939895373,2019,New Zealand
94,Europe,bullying,10.328710377022945,2019,Norway
95,Asia,bullying,9.277897962041948,2019,Pakistan
96,Asia,bullying,7.7194995598826495,2019,Philippines
97,Europe,bullying,10.376115050810693,2019,Poland
98,Europe,bullying,9.78245367162183,2019,Portugal
99,Asia,bullying,9.017813134135052,2019,Qatar
100,Europe,bullying,9.606995130679572,2019,Russian Federation
101,Asia,bullying,9.552122137979635,2019,Saudi Arabia
102,Europe,bullying,11.069066308910541,2019,Serbia
103,Asia,bullying,9.723303844929228,2019,Singapore
104,Europe,bullying,10.17735719755231,2019,Slovak Republic
105,Other,bullying,8.38136664386568,2019,South Other
106,Europe,bullying,9.924976553317956,2019,Spain
107,Europe,bullying,10.0462220841639,2019,Sweden
108,Asia,bullying,9.502811192955912,2019,United Arab Emirates
109,Asia,bullying,9.90237668719694,2019,Turkey
110,Europe,bullying,10.271382470610286,2019,North Macedonia
111,Other,bullying,9.976884672903545,2019,United States
112,Europe,bullying,9.798659134086318,2019,England
113,Europe,bullying,9.473641299993274,2019,Belgium
114,Europe,disorder,10.93934276050468,2019,Albania
115,Europe,disorder,10.622104889286327,2019,Azerbaijan
116,Other,disorder,9.509323546019717,2019,Australia
117,Europe,disorder,9.904540758424538,2019,Austria
118,Asia,disorder,9.959008079630795,2019,Bahrain
119,Europe,disorder,11.003713133378227,2019,Armenia
120,Europe,disorder,9.914218670527863,2019,Bosnia and Herzegovina
121,Europe,disorder,10.64585041025612,2019,Bulgaria
122,Other,disorder,9.500064079544357,2019,Canada
123,Other,disorder,8.734399456750019,2019,Chile
124,Asia,disorder,10.09475612785532,2019,Chinese Taipei
125,Europe,disorder,9.890683449366513,2019,Croatia
126,Europe,disorder,9.666839448935793,2019,Cyprus
127,Europe,disorder,9.852391425282788,2019,Czech Republic
128,Europe,disorder,9.72321680301447,2019,Denmark
129,Europe,disorder,10.16299785517568,2019,Finland
130,Europe,disorder,9.603518741582937,2019,France
131,Europe,disorder,10.758177197176119,2019,Georgia
132,Europe,disorder,9.332830876681312,2019,Germany
133,Asia,disorder,10.223296344915505,2019,Hong Kong
134,Europe,disorder,10.15032953105223,2019,Hungary
135,Asia,disorder,10.077080747454824,2019,Iran
136,Europe,disorder,10.202484723104252,2019,Ireland
137,Europe,disorder,9.211927044257868,2019,Italy
138,Asia,disorder,11.267004700034517,2019,Japan
139,Asia,disorder,10.833075792771702,2019,Kazakhstan
140,Asia,disorder,10.260594603174455,2019,Korea
141,Europe,disorder,10.74721130211552,2019,Kosovo
142,Asia,disorder,9.5951516838194,2019,Kuwait
143,Europe,disorder,10.022539605320885,2019,Latvia
144,Europe,disorder,10.565643601699202,2019,Lithuania
145,Europe,disorder,9.359595667365308,2019,Malta
146,Europe,disorder,10.384046965867396,2019,Montenegro
147,Other,disorder,10.401369733686375,2019,Morocco
148,Asia,disorder,10.2321385904761,2019,Oman
149,Europe,disorder,9.736304758736303,2019,Netherlands
150,Other,disorder,9.254601478150647,2019,New Zealand
151,Europe,disorder,9.954544596268892,2019,Norway
152,Asia,disorder,10.347471420295873,2019,Pakistan
153,Asia,disorder,9.298757260224068,2019,Philippines
154,Europe,disorder,9.636096181114453,2019,Poland
155,Europe,disorder,9.651567894164657,2019,Portugal
156,Asia,disorder,9.82124704304195,2019,Qatar
157,Europe,disorder,10.137711220034378,2019,Russian Federation
158,Asia,disorder,10.373420738016371,2019,Saudi Arabia
159,Europe,disorder,10.309410648850157,2019,Serbia
160,Asia,disorder,,2019,Singapore
161,Europe,disorder,9.80391631659239,2019,Slovak Republic
162,Other,disorder,9.212912682473746,2019,South Other
163,Europe,disorder,9.434251508626337,2019,Spain
164,Europe,disorder,9.698449678691425,2019,Sweden
165,Asia,disorder,10.219411367352889,2019,United Arab Emirates
166,Asia,disorder,10.055815483833937,2019,Turkey
167,Europe,disorder,10.525319202366923,2019,North Macedonia
168,Other,disorder,9.403568898416482,2019,United States
169,Europe,disorder,9.755577331743492,2019,England
170,Europe,disorder,9.887270180113672,2019,Belgium
171,Europe,likemath,11.824451083422455,2019,Albania
172,Europe,likemath,10.908520538482636,2019,Azerbaijan
173,Other,likemath,9.737817650438947,2019,Australia
174,Europe,likemath,9.804547044688674,2019,Austria
175,Asia,likemath,10.621447617709576,2019,Bahrain
176,Europe,likemath,11.387560817266648,2019,Armenia
177,Europe,likemath,10.113032569689889,2019,Bosnia and Herzegovina
178,Europe,likemath,10.388346128018853,2019,Bulgaria
179,Other,likemath,9.654867583708308,2019,Canada
180,Other,likemath,9.998853261358803,2019,Chile
181,Asia,likemath,8.85925628590651,2019,Chinese Taipei
182,Europe,likemath,9.071070302763053,2019,Croatia
183,Europe,likemath,10.467252741336921,2019,Cyprus
184,Europe,likemath,9.38746485849052,2019,Czech Republic
185,Europe,likemath,9.242144736992625,2019,Denmark
186,Europe,likemath,9.228473726230218,2019,Finland
187,Europe,likemath,10.238703761971717,2019,France
188,Europe,likemath,11.427829182056456,2019,Georgia
189,Europe,likemath,9.506324633587877,2019,Germany
190,Asia,likemath,9.31965688402955,2019,Hong Kong
191,Europe,likemath,9.717448592641194,2019,Hungary
192,Asia,likemath,10.762707691893906,2019,Iran
193,Europe,likemath,9.531627312307643,2019,Ireland
